Region,Market,Store,Trade Date,Fiscal Period,Model,Line Of Business,Day Category,Revenue ,Units Sold ,Transaction Category
North Central,Federal Capital Territory,Abaji,1-Apr-14,2015-01,3002P,Service Plan,WorkDay,9726360,32,Medium
North Central,Federal Capital Territory,Abaji,3-Apr-14,2015-01,2500P,Printer Sale,WorkDay,874200,1,Low
North Central,Federal Capital Territory,Abaji,4-Apr-14,2015-01,3002C,Parts,WorkDay,360000,17,Low
North Central,Federal Capital Territory,Abaji,10-Apr-14,2015-01,5001P,Service Plan,WorkDay,933840,3,Low
North Central,Federal Capital Territory,Abaji,27-Apr-14,2015-01,4500C,Service Plan,WorkDay,8984040,44,Medium
North Central,Federal Capital Territory,Abaji,28-Apr-14,2015-01,3002C,Parts,WorkDay,115680,56,High
North Central,Federal Capital Territory,Abaji,28-Apr-14,2015-01,3002C,Service Plan,WorkDay,1632360,9,Low
North Central,Federal Capital Territory,Abaji,29-Apr-14,2015-01,3002P,Parts,WorkDay,1925640,42,Medium
North Central,Federal Capital Territory,Abaji,30-Apr-14,2015-01,2500C,Copier Sale,WorkDay,559320,2,Low
North Central,Federal Capital Territory,Bwari,1-Apr-14,2015-01,3002C,Service Plan,WorkDay,2983800,15,Low
North Central,Federal Capital Territory,Bwari,3-Apr-14,2015-01,5001P,Service Plan,WorkDay,1552920,7,Low
North Central,Federal Capital Territory,Bwari,9-Apr-14,2015-01,4500C,Service Plan,WorkDay,8746320,40,Medium
North Central,Federal Capital Territory,Bwari,13-Apr-14,2015-01,3002C,Parts,WorkDay,1274160,67,High
North Central,Federal Capital Territory,Bwari,13-Apr-14,2015-01,3002P,Parts,WorkDay,3195720,40,Medium
North Central,Federal Capital Territory,Bwari,14-Apr-14,2015-01,2500P,Printer Sale,WorkDay,1498080,3,Low
North Central,Federal Capital Territory,Bwari,16-Apr-14,2015-01,5001C,Service Plan,WorkDay,306360,2,Low
North Central,Federal Capital Territory,Bwari,21-Apr-14,2015-01,4055T,Parts,Public Holiday,953280,54,High
North Central,Federal Capital Territory,Bwari,22-Apr-14,2015-01,3002P,Service Plan,WorkDay,13990080,54,High
North Central,Federal Capital Territory,Bwari,25-Apr-14,2015-01,2500C,Copier Sale,WorkDay,2181120,6,Low
North Central,Federal Capital Territory,Bwari,27-Apr-14,2015-01,4500P,Service Plan,WorkDay,377040,2,Low
North Central,Federal Capital Territory,Gwagwalada,1-Apr-14,2015-01,2500C,Copier Sale,WorkDay,778920,2,Low
North Central,Federal Capital Territory,Gwagwalada,1-Apr-14,2015-01,3002C,Service Plan,WorkDay,2356320,12,Low
North Central,Federal Capital Territory,Gwagwalada,9-Apr-14,2015-01,5001C,Service Plan,WorkDay,200640,1,Low
North Central,Federal Capital Territory,Gwagwalada,13-Apr-14,2015-01,3002C,Parts,WorkDay,79080,57,High
North Central,Federal Capital Territory,Gwagwalada,13-Apr-14,2015-01,4500C,Service Plan,WorkDay,7172280,32,Medium
North Central,Federal Capital Territory,Gwagwalada,13-Apr-14,2015-01,5001P,Service Plan,WorkDay,2648640,11,Low
North Central,Federal Capital Territory,Gwagwalada,15-Apr-14,2015-01,3002P,Parts,WorkDay,1283400,47,Medium
North Central,Federal Capital Territory,Gwagwalada,17-Apr-14,2015-01,3002P,Parts,WorkDay,132240,14,Low
North Central,Federal Capital Territory,Gwagwalada,18-Apr-14,2015-01,2500P,Printer Sale,Public Holiday,2867040,5,Low
North Central,Federal Capital Territory,Gwagwalada,20-Apr-14,2015-01,5001P,Parts,Public Holiday,92040,55,High
North Central,Federal Capital Territory,Gwagwalada,22-Apr-14,2015-01,3002C,Parts,WorkDay,388440,16,Low
North Central,Federal Capital Territory,Gwagwalada,22-Apr-14,2015-01,5001C,Parts,WorkDay,114480,42,Medium
North Central,Federal Capital Territory,Gwagwalada,23-Apr-14,2015-01,3002P,Service Plan,WorkDay,16296960,39,Medium
North Central,Federal Capital Territory,Gwagwalada,23-Apr-14,2015-01,4055T,Parts,WorkDay,410280,54,High
North Central,Federal Capital Territory,Gwagwalada,30-Apr-14,2015-01,5001C,Parts,WorkDay,462000,25,Medium
North Central,Federal Capital Territory,Kuje,2-Apr-14,2015-01,5001C,Service Plan,WorkDay,130200,20,Low
North Central,Federal Capital Territory,Kuje,5-Apr-14,2015-01,4055T,Parts,WorkDay,543720,11,Low
North Central,Federal Capital Territory,Kuje,8-Apr-14,2015-01,3002C,Parts,WorkDay,63600,31,Medium
North Central,Federal Capital Territory,Kuje,8-Apr-14,2015-01,3002C,Service Plan,WorkDay,3987960,25,Medium
North Central,Federal Capital Territory,Kuje,8-Apr-14,2015-01,3002P,Parts,WorkDay,960,18,Low
North Central,Federal Capital Territory,Kuje,14-Apr-14,2015-01,3002C,Parts,WorkDay,251640,47,Medium
North Central,Federal Capital Territory,Kuje,15-Apr-14,2015-01,3002P,Parts,WorkDay,1684200,49,Medium
North Central,Federal Capital Territory,Kuje,15-Apr-14,2015-01,5001C,Parts,WorkDay,78720,38,Medium
North Central,Federal Capital Territory,Kuje,15-Apr-14,2015-01,5001P,Service Plan,WorkDay,1291560,3,Low
North Central,Federal Capital Territory,Kuje,16-Apr-14,2015-01,4500P,Service Plan,WorkDay,8082720,22,Medium
North Central,Federal Capital Territory,Kuje,18-Apr-14,2015-01,4500C,Service Plan,Public Holiday,8820960,33,Medium
North Central,Federal Capital Territory,Kuje,19-Apr-14,2015-01,2500P,Printer Sale,Observance,1506720,3,Low
North Central,Federal Capital Territory,Kuje,20-Apr-14,2015-01,2500C,Copier Sale,Public Holiday,2974560,8,Low
North Central,Federal Capital Territory,Kuje,25-Apr-14,2015-01,3002P,Service Plan,WorkDay,17138640,69,High
North Central,Federal Capital Territory,Kuje,28-Apr-14,2015-01,3002C,Parts,WorkDay,357360,26,Medium
North Central,Federal Capital Territory,Kwali,5-Apr-14,2015-01,4500P,Service Plan,WorkDay,1254000,4,Low
North Central,Kogi,Adavi,5-Apr-14,2015-01,5001P,Parts,WorkDay,299040,48,Medium
North Central,Kogi,Adavi,6-Apr-14,2015-01,5001P,Service Plan,WorkDay,1687680,8,Low
North Central,Kogi,Adavi,9-Apr-14,2015-01,4500P,Service Plan,WorkDay,1325760,6,Low
North Central,Kogi,Adavi,13-Apr-14,2015-01,2500P,Printer Sale,WorkDay,6480600,13,Low
North Central,Kogi,Adavi,14-Apr-14,2015-01,3002P,Parts,WorkDay,63960,41,Medium
North Central,Kogi,Adavi,15-Apr-14,2015-01,3002C,Parts,WorkDay,141360,11,Low
North Central,Kogi,Adavi,17-Apr-14,2015-01,3002C,Parts,WorkDay,119760,15,Low
North Central,Kogi,Adavi,22-Apr-14,2015-01,2500C,Copier Sale,WorkDay,5349480,13,Low
North Central,Kogi,Adavi,25-Apr-14,2015-01,3002P,Parts,WorkDay,1411440,49,Medium
North Central,Kogi,Adavi,27-Apr-14,2015-01,4055T,Parts,WorkDay,501720,39,Medium
North Central,Kogi,Adavi,29-Apr-14,2015-01,3002P,Service Plan,WorkDay,9764280,26,Medium
North Central,Kogi,Adavi,30-Apr-14,2015-01,3002C,Service Plan,WorkDay,4038360,25,Medium
North Central,Kogi,Adavi,30-Apr-14,2015-01,4500C,Service Plan,WorkDay,10246800,41,Medium
North Central,Kogi,Adavi,30-Apr-14,2015-01,5001C,Service Plan,WorkDay,395520,2,Low
North Central,Kogi,Ajaokuta,1-Apr-14,2015-01,3002C,Parts,WorkDay,143760,27,Medium
North Central,Kogi,Ajaokuta,8-Apr-14,2015-01,3002C,Parts,WorkDay,966960,25,Medium
North Central,Kogi,Ajaokuta,8-Apr-14,2015-01,3002P,Parts,WorkDay,649560,10,Low
North Central,Kogi,Ajaokuta,10-Apr-14,2015-01,3002C,Service Plan,WorkDay,6770040,45,Medium
North Central,Kogi,Ajaokuta,11-Apr-14,2015-01,5001C,Parts,WorkDay,168360,57,High
North Central,Kogi,Ajaokuta,12-Apr-14,2015-01,2500P,Printer Sale,WorkDay,4243080,9,Low
North Central,Kogi,Ajaokuta,16-Apr-14,2015-01,2500C,Copier Sale,WorkDay,5273280,17,Low
North Central,Kogi,Ajaokuta,17-Apr-14,2015-01,3002C,Parts,WorkDay,45240,32,Medium
North Central,Kogi,Ajaokuta,18-Apr-14,2015-01,4055T,Parts,Public Holiday,839160,46,Medium
North Central,Kogi,Ajaokuta,18-Apr-14,2015-01,4500P,Service Plan,Public Holiday,6468240,19,Low
North Central,Kogi,Ajaokuta,20-Apr-14,2015-01,3002P,Service Plan,Public Holiday,30055080,107,High
North Central,Kogi,Ajaokuta,27-Apr-14,2015-01,5001P,Parts,WorkDay,521760,14,Low
North Central,Kogi,Ajaokuta,27-Apr-14,2015-01,5001P,Service Plan,WorkDay,1701840,6,Low
North Central,Kogi,Ajaokuta,29-Apr-14,2015-01,5001C,Service Plan,WorkDay,338280,1,Low
North Central,Kogi,Ajaokuta,30-Apr-14,2015-01,3002P,Parts,WorkDay,2700960,30,Medium
North Central,Kogi,Ajaokuta,30-Apr-14,2015-01,4500C,Service Plan,WorkDay,16262280,71,High
North Central,Kogi,Ajaokuta,30-Apr-14,2015-01,5001C,Parts,WorkDay,185640,20,Low
North Central,Kogi,Ankpa,4-Apr-14,2015-01,5001C,Service Plan,WorkDay,1221840,6,Low
North Central,Kogi,Ankpa,5-Apr-14,2015-01,5001P,Service Plan,WorkDay,5577840,23,Medium
North Central,Kogi,Ankpa,6-Apr-14,2015-01,2500P,Printer Sale,WorkDay,9806880,20,Low
North Central,Kogi,Ankpa,7-Apr-14,2015-01,3002P,Parts,WorkDay,3751080,48,Medium
North Central,Kogi,Ankpa,12-Apr-14,2015-01,3002C,Parts,WorkDay,59880,32,Medium
North Central,Kogi,Ankpa,15-Apr-14,2015-01,3002P,Service Plan,WorkDay,36552480,107,High
North Central,Kogi,Ankpa,16-Apr-14,2015-01,3002C,Parts,WorkDay,104280,32,Medium
North Central,Kogi,Ankpa,17-Apr-14,2015-01,4500P,Service Plan,WorkDay,2553120,7,Low
North Central,Kogi,Ankpa,19-Apr-14,2015-01,3002C,Service Plan,Observance,8997840,40,Medium
North Central,Kogi,Ankpa,23-Apr-14,2015-01,2500C,Copier Sale,WorkDay,5747520,21,Medium
North Central,Kogi,Ankpa,23-Apr-14,2015-01,3002P,Parts,WorkDay,865560,18,Low
North Central,Kogi,Ankpa,23-Apr-14,2015-01,5001P,Parts,WorkDay,2208600,28,Medium
North Central,Kogi,Ankpa,26-Apr-14,2015-01,4055T,Parts,WorkDay,1902960,19,Low
North Central,Kogi,Ankpa,27-Apr-14,2015-01,4500C,Service Plan,WorkDay,22213680,106,High
North Central,Kogi,Ankpa,29-Apr-14,2015-01,5001C,Parts,WorkDay,350040,22,Medium
North East,Adamawa,Demsa,2-Apr-14,2015-01,3002P,Parts,WorkDay,711840,29,Medium
North East,Adamawa,Demsa,2-Apr-14,2015-01,4055T,Parts,WorkDay,116040,56,High
North East,Adamawa,Demsa,2-Apr-14,2015-01,4500C,Service Plan,WorkDay,5308320,21,Medium
North East,Adamawa,Demsa,4-Apr-14,2015-01,2500C,Copier Sale,WorkDay,4122840,11,Low
North East,Adamawa,Demsa,4-Apr-14,2015-01,3002C,Parts,WorkDay,164160,52,High
North East,Adamawa,Demsa,4-Apr-14,2015-01,5001C,Service Plan,WorkDay,145560,1,Low
North East,Adamawa,Demsa,8-Apr-14,2015-01,3002C,Parts,WorkDay,65160,56,High
North East,Adamawa,Demsa,13-Apr-14,2015-01,3002C,Service Plan,WorkDay,1092960,5,Low
North East,Adamawa,Demsa,15-Apr-14,2015-01,3002P,Service Plan,WorkDay,4864440,12,Low
North East,Adamawa,Demsa,25-Apr-14,2015-01,2500P,Printer Sale,WorkDay,2997000,4,Low
North East,Adamawa,Demsa,27-Apr-14,2015-01,5001P,Service Plan,WorkDay,522360,1,Low
North East,Adamawa,Fufure,1-Apr-14,2015-01,5001P,Service Plan,WorkDay,417840,1,Low
North East,Adamawa,Fufure,2-Apr-14,2015-01,4500P,Service Plan,WorkDay,781200,2,Low
North East,Adamawa,Fufure,17-Apr-14,2015-01,3002P,Service Plan,WorkDay,6628560,26,Medium
North East,Adamawa,Fufure,19-Apr-14,2015-01,3002P,Parts,Observance,441120,47,Medium
North East,Adamawa,Fufure,21-Apr-14,2015-01,3002C,Service Plan,Public Holiday,2504400,16,Low
North East,Adamawa,Fufure,22-Apr-14,2015-01,2500P,Printer Sale,WorkDay,1163280,1,Low
North East,Adamawa,Fufure,23-Apr-14,2015-01,4055T,Parts,WorkDay,138000,40,Medium
North East,Adamawa,Fufure,27-Apr-14,2015-01,5001C,Service Plan,WorkDay,189360,1,Low
North East,Adamawa,Fufure,28-Apr-14,2015-01,4500C,Service Plan,WorkDay,2865600,15,Low
North East,Adamawa,Fufure,29-Apr-14,2015-01,3002C,Parts,WorkDay,264960,31,Medium
North East,Adamawa,Fufure,30-Apr-14,2015-01,2500C,Copier Sale,WorkDay,2887200,10,Low
North East,Adamawa,Ganye,7-Apr-14,2015-01,3002P,Service Plan,WorkDay,3911160,12,Low
North East,Adamawa,Ganye,10-Apr-14,2015-01,3002P,Parts,WorkDay,572400,59,High
North East,Adamawa,Ganye,15-Apr-14,2015-01,2500C,Copier Sale,WorkDay,3314880,9,Low
North East,Adamawa,Ganye,15-Apr-14,2015-01,3002C,Service Plan,WorkDay,878640,3,Low
North East,Adamawa,Ganye,15-Apr-14,2015-01,4500C,Service Plan,WorkDay,4267920,29,Medium
North East,Adamawa,Ganye,17-Apr-14,2015-01,2500P,Printer Sale,WorkDay,2409600,5,Low
North East,Adamawa,Ganye,17-Apr-14,2015-01,4055T,Parts,WorkDay,93240,40,Medium
North East,Adamawa,Ganye,20-Apr-14,2015-01,5001P,Service Plan,Public Holiday,420000,2,Low
North East,Adamawa,Ganye,21-Apr-14,2015-01,3002C,Parts,Public Holiday,132000,10,Low
North East,Adamawa,Ganye,23-Apr-14,2015-01,3002C,Parts,WorkDay,52320,31,Medium
